Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Moons_100,10.0,77214914,DualSinKernel,186.8382143300304,0.003336,13,0.8857142857142857,0.8333333333333334,2
Moons_100,10.0,77214914,DualRBF,83.50711079071294,0.005742,10,0.9714285714285714,0.9,2
Moons_100,100.0,77214914,Primal,-6081009.09998678,0.004021,12,0.2,0.3333333333333333,2
Moons_100,100.0,77214914,DualSinKernel,1834.1307484986,0.003825,15,0.8857142857142857,0.8333333333333334,2
Moons_100,100.0,77214914,DualRBF,342.27643744597214,0.006306,12,0.9857142857142858,0.7333333333333333,2
Moons_1000,0.01,77214914,Primal,-158.15393782541486,0.008283,10,0.29714285714285715,0.29333333333333333,2
Moons_1000,0.01,77214914,DualSinKernel,3.354082592274736,0.015145,17,0.8485714285714285,0.83,2
Moons_1000,0.01,77214914,DualRBF,4.129206563759618,0.056027,14,0.8871428571428571,0.8766666666666667,2
Moons_1000,0.1,77214914,Primal,-2740.978698833535,0.008531,10,0.20142857142857143,0.21666666666666667,2
Moons_1000,0.1,77214914,DualSinKernel,23.09374745226301,0.019362,29,0.88,0.8733333333333333,2
Moons_1000,0.1,77214914,DualRBF,15.301639737082407,0.080672,25,0.9671428571428572,0.9666666666666667,2
Moons_1000,0.0,77214914,Primal,0.0,0.001925,-1,0.5,0.5,2
Moons_1000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,2
Moons_1000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,2
Moons_1000,1.0,77214914,Primal,-62208.04715559232,0.008901,11,0.18857142857142858,0.20666666666666667,2
Moons_1000,1.0,77214914,DualSinKernel,202.0086190185105,0.017726,26,0.8842857142857142,0.8733333333333333,2
Moons_1000,1.0,77214914,DualRBF,58.19597778785265,0.081936,26,0.9857142857142858,0.9833333333333333,2
Moons_1000,10.0,77214914,Primal,-844728.4511498546,0.010148,13,0.17142857142857143,0.18333333333333332,2
